Description,Verdict,Character
"The god of the sea, who acts as a blustering and somewhat dim-witted ambassador from the gods, sent to negotiate with the powerful new city of the birds.",Bad,Poseidon
"The demigod, another of the divine ambassadors, who is easily swayed by the promise of a good meal, representing gluttony and a lack of intellect.",Ambiguous,Heracles
"The messenger goddess, who is captured by the birds while trying to fly through their new territory, representing the old divine order being overthrown.",Ambiguous,Iris
"The protagonist, a young woman who has died and gone to Heaven, but whose love for her earthly partner is so strong that she yearns for their reunion from the celestial ramparts.",Good,The Blessed Damozel
"The poem's secondary speaker, still living on Earth, who senses the Damozel's presence and shares her profound grief and longing.",Good,The Earthly Lover
"The Queen of Heaven, attended by five handmaidens, who represents divine maternal compassion within the poem's celestial hierarchy.",Good,The Virgin Mary
"The inhabitants of Heaven, who represent a state of divine peace and worship that contrasts with the Damozel's personal, romantic sorrow.",Good,The Angels
"Personified as the 'gold bar' or rampart from which the Damozel leans; a place of beauty and light, but one that is incomplete for her without her lover.",Good,Heaven
"A personified space, representing the mortal world of the lover, seen from Heaven as a distant, spinning speck.",Good,Earth
"A personified force that separates the lovers, measured in Heaven not by days, but by the slow falling of leaves from the celestial trees.",Bad,Time
"The central, personified force of the poem; it is portrayed as a power so strong that it transcends death and makes even Heaven feel like a place of waiting.",Good,Love
"The narrator, a detached and observant poet who joins the utopian Blithedale community more as a spectator than a true believer.",Ambiguous,Miles Coverdale
"A beautiful, wealthy, and passionate feminist writer who is a dominant figure at Blithedale. She is a rival to Priscilla for Hollingsworth's affection.",Ambiguous,Zenobia
"A charismatic but monomaniacal philanthropist, whose entire being is dedicated to his plan for criminal reform. He is the romantic focus of both Zenobia and Priscilla.",Bad,Hollingsworth
"A frail, ethereal, and submissive young seamstress who is rescued from poverty and becomes Zenobia's protegee and rival.",Good,Priscilla
"Priscilla's father, a ruined and reclusive man who harbors a secret connecting him to Zenobia.",Ambiguous,Old Moodie (Fauntleroy)
A mysterious and sinister mesmerist from Zenobia's past who seeks to control Priscilla.,Bad,Professor Westervelt
"The grizzled, practical, and down-to-earth farmer at Blithedale, who serves as a foil to the idealistic and impractical notions of the other members.",Good,Silas Foster
"An archetypal character representing the flawed idealism of the transcendentalist movement, which ultimately collapses under the weight of human passion and ego.",Ambiguous,The Blithedale Community
"The youngest brother, a gentle and compassionate novice monk who serves as the novel's hero and moral center.",Good,Alyosha Karamazov
"The eldest brother, a passionate, sensual, and honorable but reckless man who is wrongly convicted of his father's murder.",Good,Dmitri Karamazov
"The second brother, a brilliant and tormented intellectual whose atheistic philosophy ('if there is no God, everything is permitted') has devastating consequences.",Ambiguous,Ivan Karamazov
"The hedonistic, buffoonish, and utterly depraved father of the three brothers, whose murder is the central event of the novel.",Bad,Fyodor Pavlovich Karamazov
"Fyodor's illegitimate son and servant; a cunning, resentful, and epileptic man who is the true parricide.",Bad,Pavel Smerdyakov
"A beautiful and proud woman of questionable repute, who is the object of both Fyodor's and Dmitri's obsessive love.",Ambiguous,Agrafena 'Grushenka' Svetlova
"Dmitri's proud and noble fiancée, who is also intellectually drawn to Ivan, creating a torturous love triangle.",Good,Katerina Ivanovna Verkhovtseva
"Alyosha's spiritual mentor, a wise and revered elder monk whose teachings on active love form the novel's philosophical core.",Good,Father Zosima
The ghost who has haunted Canterville Chase for 300 years after murdering his wife; he is a theatrical and proud spirit who is utterly frustrated by the pragmatic Americans.,Good,Sir Simon de Canterville (The Ghost)
"The 15-year-old daughter of the American family; a kind, compassionate, and wise young woman who befriends and ultimately helps Sir Simon find peace.",Good,Virginia E. Otis
"The practical and modern American Minister who buys Canterville Chase and refuses to be frightened by its ghost, offering him lubricant for his chains.",Good,Mr. Hiram B. Otis
"The eldest son, who is fond of gardenias and is named in a moment of patriotism his father now regrets.",Good,Washington Otis
"A pair of mischievous young boys who delight in playing practical jokes on the ghost, terrorizing him with pea-shooters and tripwires.",Good,The Otis Twins ('Stars and Stripes')
"The Minister's wife, a handsome New York belle who is immediately concerned about a persistent bloodstain on the carpet.",Good,Mrs. Lucretia Otis
"The grim and proper old housekeeper at Canterville Chase, who represents the old-world reverence for tradition and superstition.",Good,Mrs. Umney
A young aristocrat who is deeply in love with Virginia and eventually marries her.,Good,The Duke of Cheshire (Cecil)
"The protagonist, an elderly Athenian farmer drowning in debt, who enrolls in Socrates's school to learn how to argue his way out of paying his creditors.",Bad,Strepsiades
"Strepsiades's son, a foppish and arrogant young man whose obsession with expensive horses is the cause of his father's debts.",Bad,Pheidippides
"A satirical caricature of the philosopher, portrayed as the head of the 'Thinkery,' a master of amoral rhetoric who worships the Clouds instead of the gods.",Bad,Socrates
"The divine patrons of the Thinkery, personified as the play's chorus. They represent the new, airy, and morally nebulous philosophies that Strepsiades hopes to master.",Bad,The Chorus of Clouds
"An allegorical figure representing the traditional, old-fashioned Athenian education based on discipline, respect for elders, and physical fitness.",Good,The Just Argument (Dikaios Logos)
"An allegorical figure representing the new Sophist education, which teaches moral relativism and how to make the weaker argument appear stronger.",Bad,The Unjust Argument (Adikos Logos)
"A pale and emaciated disciple of Socrates, who introduces Strepsiades to the bizarre and seemingly pointless 'scientific' research conducted at the school.",Bad,A Student of the Thinkery
"One of Strepsiades's exasperated creditors, who represents the real-world financial consequences from which Strepsiades is trying to escape through rhetoric.",Good,Pasias
"An irresistibly beautiful charmer and stage performer who is unable to love any man who loves her. She is a femme fatale and ultimately a selfish, capricious agent of chaos.",Bad,Zuleika Dobson
"A wealthy, proud, and accomplished Edwardian dandy who falls in love with Zuleika and becomes the first to commit suicide for her.",Bad,The Duke of Dorset
"Zuleika's grandfather, the head of a fictional Oxford college; a figure of fun whose primary concern is his college's reputation.",Bad,The Warden of Judas College
"A poor, unremarkable student at Oxford who also succumbs to Zuleika's charms, highlighting the universal nature of her effect.",Good,Noaks
"A young, unsophisticated English widow who marries a younger Italian man in a bid for freedom from her oppressive in-laws, leading to tragedy.",Good,Lilia Herriton
"Lilia's cynical but ultimately naive brother-in-law, sent to Italy to intervene, whose cultural prejudices are challenged and who matures through his experience.",Good,Philip Herriton
"Lilia's Italian husband, a handsome, poor, and somewhat vulgar man who marries for money but is intensely devoted to his son.",Bad,Gino Carella
"The snobbish, controlling matriarch of the Herriton family, obsessed with propriety and preserving her family's upper-class reputation.",Bad,Mrs. Herriton
"The perceptive, yet innocent, young daughter of divorced, narcissistic parents, who is shuttled between their dysfunctional households.",Good,Maisie Farange
"Maisie's devoted, frumpy, and morally upright governess who serves as the sole beacon of true moral concern in the child's life.",Good,Mrs. Wix
Maisie's kind but weak and indecisive stepfather who genuinely cares for her but cannot resist his own illicit affections.,Bad,Sir Claude
"Maisie's beautiful, utterly narcissistic, and neglectful mother, who views her daughter as a pawn and ultimately abandons her.",Bad,Ida Farange
"The shy, plain, and wealthy daughter of Dr. Sloper. She is initially naive but becomes quietly resolute and resigned after being betrayed by her suitor.",Good,Catherine Sloper
"Catherine's wealthy father, an emotionally reserved physician who despises his daughter's dullness and cruelly thwarts her romance.",Bad,Dr. Austin Sloper
"A handsome, charming suitor with no profession who courts Catherine for her wealth and abandons her when the inheritance is threatened.",Bad,Morris Townsend
"Dr. Sloper's widowed sister, a hopelessly romantic and meddling aunt who encourages Catherine's match with Townsend for the drama it provides.",Bad,Mrs. Lavinia Penniman
"The quiet, resilient, and deeply passionate protagonist and narrator, who travels alone to the city of Villette to seek independence as a teacher.",Good,Lucy Snowe
"A brilliant, hot-tempered, and passionate professor who becomes Lucy's chief rival, benefactor, and eventual love interest.",Good,Monsieur Paul Emanuel
"A kind, handsome, and cheerful English physician who is an object of Lucy's unrequited affection before marrying her childhood friend, Polly.",Good,Dr. John Graham Bretton
"The cool, plump, self-possessed headmistress of the girls' school. She is a clever administrator but is deeply secretive, cold, and manipulative.",Bad,Madame Beck
"The Goddess of Love and Beauty, portrayed as an aggressive and lustful seductress who relentlessly pursues the handsome young hunter, Adonis.",Ambiguous,Venus
"A mortal youth of incredible beauty, who is shy, chaste, and stubborn; he scorns love and prefers the hunt, which ultimately leads to his tragic death.",Good,Adonis
"The savage wild animal that Adonis insists on hunting, which, according to Venus's tragic narrative, accidentally kills him in a misguided attempt to kiss him.",Bad,The Boar
"The stallion on which Adonis rides, which is briefly personified as it passionately pursues a wild mare, acting as a foil to Adonis's cold reluctance to love.",Neutral,Adonis's Horse
"The wild female horse who initially resists but quickly succumbs to the advances of Adonis's horse, demonstrating the natural course of procreative love.",Neutral,The Mare
"Adonis's mother (mentioned in the mythology that serves as the source), who conceived him through an incestuous trick on her own father, Cinyras.",Bad,Myrrha
"Adonis's father and maternal grandfather (mentioned in the mythology that serves as the source), who was tricked into committing incest with his daughter, Myrrha.",Bad,Cinyras
"The Caliph of the Abassides; a volatile, wicked tyrant consumed by gluttony, excess, and an insatiable, blasphemous quest for forbidden knowledge.",Bad,Vathek
"Vathek's mother; a Greek sorceress who encourages her son's evil ambitions, practicing dark rituals and human sacrifice to achieve eternal power.",Bad,Carathis
"A hideous stranger and prince of darkness who acts as a magician and demon, luring Vathek to commit crimes and ultimately to the infernal Palace of Eblis.",Bad,The Giaour
"A beautiful princess, betrothed to Gulchenrouz, who is easily seduced by Vathek's luxury and joins him in his lust for dark power and damnation.",Bad,Nouronihar
"Nouronihar's innocent and deeply devoted cousin and betrothed, who, due to his purity, is saved and taken to an earthly paradise.",Good,Gulchenrouz
"The dread lord of darkness (Satan) in the subterranean Palace of Istakhar, who grants power but eternally punishes his followers with burning hearts.",Bad,Eblis
"A deeply religious, noble prince who hosts Vathek. His hospitality is betrayed when Vathek seduces his daughter, Nouronihar.",Good,Emir Fakreddin
"An ambitious, witty, and manipulative young woman of humble origins who uses her charm and cunning to climb the social ladder, often at the expense of others.",Bad,Becky Sharp
"A kind-hearted, gentle, and passive young woman, initially wealthy, who is excessively devoted to her unworthy husband, George, and blind to Captain Dobbin's love.",Good,Amelia Sedley
"Amelia's loyal, patient, and kind friend who loves her for years without reciprocation, representing true virtue in a corrupt world.",Good,Captain William Dobbin
"Amelia's dashing, self-obsessed, and unfaithful husband who is killed at the Battle of Waterloo, dying heavily in debt.",Bad,George Osborne
"A dashing but simple-minded army officer and gambler who secretly marries Becky, is disinherited for it, but shows a moment of honour when he leaves her.",Ambiguous,Rawdon Crawley
"Amelia's clumsy, vainglorious, and rich older brother, a civil servant from India who Becky tries and fails to marry, and who later dies under suspicious circumstances.",Bad,Joseph 'Jos' Sedley
"Rawdon's very wealthy, elderly, and eccentric aunt, whose fortune the entire Crawley family schemes to inherit.",Neutral,Miss Crawley
"A soldier and the apparent author, who observes, grieves, and broods on the filth, brutality, and ultimate meaninglessness of the war experience.",Good,The Narrator (Barbusse)
"A jaundiced-looking, disillusioned soldier who returns from the hospital bitter about malingering patients and arrogant staff, representing a sense of weariness.",Neutral,Volpatte
"A pleasant-faced former café keeper whose one night of furlough is tragically cut short by the war, eventually being killed on patrol.",Good,Eudore
"A serious, friendly, and respected leader of the squad, embodying a soldierly competence that is tragically undone by the war.",Good,Corporal Bertrand
"A plump, baby-faced soldier who often engages in philosophical discussions about the nature of war and its harsh realities with the narrator.",Good,Paradis
"A soldier who suffers profound, almost maddening grief after losing four of his five brothers to the war, highlighting the personal cost of the conflict.",Good,Joseph Mesnil
"A fat, ruddy-faced peasant soldier who is killed on patrol, representing the common man sacrificed by the conflict.",Good,Lamuse
"A middle-aged man who manages the family estate for years, only to suffer a crushing disillusionment after realizing his sacrifice was for a fraudulent professor.",Good,Ivan 'Vanya' Voitski
"A retired, gout-ridden, self-conceited, and whiny scholar who is a trial to everyone, leading Vanya to attempt to murder him.",Bad,Professor Alexandr Serebryakov
"The Professor's beautiful, much younger second wife; she is idle, bored, and infects others with her directionless values, causing despair.",Bad,Yelena Andreyevna
"The Professor's plain, hardworking daughter, who is hopelessly in love with Astrov. She embodies self-sacrificing endurance and a faith in a better afterlife.",Good,Sonya Alexandrovna
"The local, overworked, and discouraged physician. An intelligent and visionary man obsessed with forestry and conservation, who sees his life as ruined and unfulfilled.",Ambiguous,Mihail Astrov
Vanya's mother; a dogmatic widow who is constantly reading revolutionary pamphlets and is obsessed with the emancipation of women.,Neutral,Marya Voitskaya
"An old family nurse, representing the traditional ways and offering simple, kind comforts to all the suffering characters.",Good,Marina
"A Jewish advertising canvasser and the modern-day Odysseus; he is thoughtful, sensual, often mocked, and wanders Dublin on a single day, June 16, 1904.",Good,Leopold Bloom
"A young, arrogant, intellectual artist and the modern-day Telemachus; he is disillusioned and searching for a spiritual or actual father figure.",Ambiguous,Stephen Dedalus
"Leopold's wife and a professional singer; the modern-day Penelope, whose long, stream-of-consciousness monologue ends the novel, revealing her sexuality and interior life.",Neutral,Molly Bloom
"A flamboyant, cynical, and annoying medical student; Stephen's roommate and rival, representing the betraying friend Antinous.",Bad,Buck Mulligan
"Molly's concert manager and lover, representing the suitor Eurymachus; he is physically attractive but boorish and self-obsessed.",Bad,Blazes Boylan
"Stephen's father; an impoverished, often drunken man known for his wit and singing, who is a parallel to the classic hero's father, Laertes.",Bad,Simon Dedalus
"An aggressive, anti-Semitic Irish nationalist and former athlete who argues with Bloom in a pub, symbolizing the brutal Cyclops.",Bad,The Citizen
"One of the two gentlemen; a witty, idealistic young man from Verona who falls in love with Silvia and is betrayed by his best friend, Proteus.",Good,Valentine
"The other of the two gentlemen; a self-centered and fickle youth who breaks his pledge to Julia to pursue his friend Valentine's love, Silvia.",Bad,Proteus
"A young noblewoman of Verona, passionately in love with Proteus. She follows him to Milan disguised as a male page ('Sebastian') with dogged devotion.",Good,Julia
"The witty and steadfast daughter of the Duke of Milan, beloved by Valentine; she staunchly rejects Proteus's advances, despite his betrayal of her lover.",Good,Silvia
"Proteus's simple, honest, and clownish servant, famed for his comic monologues and his dog, Crab.",Good,Launce
"Valentine's exuberant, loquacious servant and one of the play's witty clowns.",Good,Speed
"Silvia's strong-willed father, who attempts to control his daughter's romantic choices by banishing Valentine and pushing Sir Thurio on her.",Neutral,The Duke of Milan
"A free-born African-American man from New York, a skilled carpenter and violinist, who is kidnapped and sold into slavery for twelve years in Louisiana.",Good,Solomon Northup
"Solomon's first master; a Christian minister and preacher who is relatively kind and humane, though he still owns slaves, leading to his moral ambiguity.",Ambiguous,William Prince Ford
"Solomon's final and most abusive master; a cruel, sadistic, and often drunken planter who uses his version of Christianity to justify his brutality.",Bad,Edwin Epps
"A female slave on Epps's plantation; a favored cotton picker, frequently raped by Epps and abused by his jealous wife, representing the deepest suffering of slavery.",Good,Patsey
"A white Canadian carpenter hired by Epps, who is a staunch abolitionist and risks his life to mail Solomon's letter, ultimately securing his freedom.",Good,Samuel Bass
"A white plantation carpenter with whom Solomon is leased to work; he is hostile, physically attacks Solomon, and attempts to lynch him.",Bad,John Tibeats
"A white New York attorney, relative of Solomon's father's former owner, who acts as the legal agent to secure Solomon's release from slavery.",Good,Henry B. Northup
"A witty, virtuous young noblewoman who is shipwrecked and disguises herself as a male page ('Cesario') to serve Duke Orsino, whom she falls in love with.",Good,Viola (as Cesario)
"The Duke of Illyria, who is a self-indulgent romantic, deeply in love with the idea of love and obsessed with the Countess Olivia.",Neutral,Duke Orsino
"A wealthy, witty noblewoman who vows to mourn her brother for seven years but instantly falls in love with Orsino's male messenger, 'Cesario' (Viola).",Good,Countess Olivia
"Viola's twin brother, whom she believes drowned. His unexpected arrival resolves the play's mistaken identity plot, as he marries Olivia.",Good,Sebastian
"Olivia's pompous, Puritanical, and ambitious steward, who is tricked by the household staff into believing Olivia is in love with him.",Bad,Malvolio
"Olivia's riotous, drunken, and merry uncle who, along with his companions, perpetrates the cruel prank on Malvolio.",Bad,Sir Toby Belch
"Olivia's witty and observant jester (clown), who often speaks the deepest truths in the play and participates in the mockery of Malvolio.",Good,Feste
"A noble Trojan prince and warrior, a devoted and tragically sincere lover whose heart is broken when his beloved, Criseyde, betrays him.",Good,Troilus
"A beautiful, intelligent, and initially reluctant Trojan widow, whose need for security and self-preservation ultimately leads her to betray Troilus in the Greek camp.",Bad,Criseyde
"Criseyde's sly, bawdy, and manipulative uncle who acts as the primary go-between, orchestrating the affair between Troilus and his niece.",Bad,Pandarus
"A bold and persuasive Greek warrior who successfully woos Criseyde after she is traded to the Greek camp, supplanting Troilus.",Bad,Diomede
"Criseyde's father; a Trojan priest who defects to the Greek camp after foreseeing Troy's destruction, leading to Criseyde's reluctant trade.",Bad,Calchas
"The noble, valiant chief warrior of Troy and Troilus's older brother; he embodies the highest ideals of chivalry and is slain by Achilles.",Good,Hector
"The wise and cunning Greek commander (Odysseus), who is the primary strategist for the Greeks and a moral observer of events.",Ambiguous,Ulysses
"A young Trojan prince, passionately in love with Cressida, who is portrayed as a naive, almost petulant idealist in both love and war.",Good,Troilus
"A young Trojan woman, initially coy and guarded, who swears fidelity to Troilus but quickly turns unfaithful to him in the Greek camp.",Bad,Cressida
"Cressida's bawdy, cynical uncle who serves as the pander (procurer), arranging the lovers' secret meetings.",Bad,Pandarus
"The noble Trojan warrior and prince who embodies martial honor, but whose sense of duty leads him to be murdered unchivalrously by Achilles' Myrmidons.",Good,Hector
"The greatest Greek warrior; sullen, proud, and temperamental, he refuses to fight until his cousin Patroclus is killed, after which he murders Hector dishonorably.",Bad,Achilles
The wise and eloquent Greek commander; a realist and a master strategist who works to restore order and spur Achilles to action.,Good,Ulysses
"A cynical, bold Greek commander who quickly and successfully seduces Cressida after she is exchanged to the Greek camp.",Bad,Diomedes
"The young protagonist, a courageous and resourceful boy who finds the treasure map and is instrumental in defeating the pirates.",Good,Jim Hawkins
"The cunning, one-legged ship's cook and leader of the mutinous pirates. He is charismatic but morally ambiguous and self-serving.",Ambiguous,Long John Silver
"A sensible, courageous physician and magistrate who is one of the honest members of the expedition; wise and level-headed.",Good,Dr. Livesey
"A wealthy, gullible gentleman who organizes the expedition but is easily fooled into hiring the pirates as crew, though well-intentioned.",Good,Squire Trelawny
"The cautious, duty-bound captain of the *Hispaniola* who is suspicious of the crew and takes charge of the loyal men during the mutiny.",Good,Captain Smollett
"A crazed, marooned pirate left on Treasure Island for three years, who aids Jim and the honest men in exchange for passage home and a share of the treasure.",Good,Ben Gunn
"A desperate, drunken old pirate who hides at Jim's inn and possesses the treasure map, fearing the 'black spot'.",Bad,Billy Bones
"The narrator; an enterprising young scientist who pursues success in the patent medicine boom, becoming disillusioned with the moral decay of society.",Ambiguous,George Ponderevo
"George's uncle; a flashy, unscrupulous pharmacist who becomes immensely wealthy by flamboyantly marketing the fraudulent patent medicine 'Tono-Bungay'.",Bad,Edward 'Teddy' Ponderevo
"An aristocratic woman whom George loves as a child and has an affair with as an adult. She is beautiful, spoiled, and refuses to marry him.",Neutral,Beatrice Normandy
"Edward's admirable, gentle, and patient wife who remains calm throughout her husband's rise and fall, showing great personal strength.",Good,Susan Ponderevo
"The pretty, brittle woman whom George marries. She is common-place, prudish, and makes his life miserable, leading to divorce.",Neutral,Marion Ramboat
"Beatrice's snobbish half-brother, whom George beats in a fight as a boy. He later 'toadies' to the wealthy George.",Bad,Archie Garvell
"George's stern, competent mother and housekeeper at Bladesover House, who dies shortly after George is sent away.",Neutral,Mrs. Ponderevo
"A noble Roman general and war hero who, after sacrificing Tamora's son, descends into madness and an obsession with gruesome vengeance.",Bad,Titus Andronicus
"The captured Queen of the Goths who becomes Roman Empress by marrying Saturninus, using her influence to exact brutal, unrelenting revenge on Titus's family.",Bad,Tamora
"Tamora's scheming, malevolent lover and the play's primary villain who delights in evil for its own sake and instigates much of the violence.",Bad,Aaron the Moor
"Titus's daughter, a virtuous Roman noblewoman whose horrific rape and mutilation by Tamora's sons are central to the tragedy.",Good,Lavinia
"The sensuous, arrogant, and luxury-loving Emperor of Rome who marries Tamora and becomes her easily manipulated instrument of revenge.",Bad,Saturninus
"Titus's noble, surviving son who is banished but returns with an army of Goths to overthrow Saturninus and restore honor to Rome.",Good,Lucius
"Titus's brother, a Tribune of the people who is a voice of reason and helps Titus achieve his final, horrific revenge.",Good,Marcus Andronicus
A noble Athenian lord whose excessive and indiscriminate generosity to false friends leads to his financial ruin and transformation into a bitter misanthrope.,Ambiguous,Timon
"An Athenian captain, Timon's true friend, who is banished by the Senate but returns with an army to purge Athens of corruption.",Good,Alcibiades
Timon's loyal and devoted steward who tries repeatedly to warn his master of impending ruin and remains faithful even when Timon rejects all humanity.,Good,Flavius
"A professional, churlish philosopher and misanthrope who criticizes Timon's reckless generosity and later clashes with the disillusioned Timon in the woods.",Neutral,Apemantus
A deceitful Athenian lord and one of Timon's 'friends' who happily accepts gifts but heartlessly refuses to help Timon in his time of need.,Bad,Lucullus
"Another of Timon's false 'friends' who, like the others, abandons Timon once his wealth is gone, demonstrating human ingratitude.",Bad,Lucius
"An Athenian nobleman whose debts Timon pays, yet who offers only empty excuses when Timon later begs him for aid.",Bad,Ventidius
The seven-and-a-half-year-old protagonist whose adventures in the Looking-Glass world are driven by her curiosity and attempts to understand the illogical world.,Good,Alice
"A severe, domineering, and officious chess piece who brings Alice into the game and runs at breathtaking speeds, embodying the chaos of the Looking-Glass world.",Neutral,Red Queen
"An untidy, absent-minded chess piece who can remember future events and instructs Alice on believing in impossible things.",Neutral,White Queen
"A kind, noble, and eccentric figure who rescues Alice from the Red Knight and escorts her to the final square of the chessboard.",Good,White Knight
"A pair of identical, quarrelsome, fat twin brothers based on the nursery rhyme, who delight in reciting long poems and preparing for battle.",Neutral,Tweedledum and Tweedledee
"A contemptuous, egg-like figure who sits on a wall, rudely treats Alice, and claims the power to change the meaning of words.",Neutral,Humpty Dumpty
A gentle animal Alice meets in the wood where things have no names; it flees as soon as they remember their identities.,Good,The Fawn
"The 'good Anna'; a hardworking, self-sacrificing German servant who is a 'soft tyrant' in her management of others and literally works herself to death.",Good,Anna Federner
"A graceful, intelligent, and emotionally complex mulatto woman who seeks independence and understanding but finds disillusionment in a series of difficult relationships.",Ambiguous,Melanctha Herbert
"The 'gentle Lena'; a passive, simple German servant girl who marries under pressure and dies in childbirth, having lived without a will or voice of her own.",Good,Lena
"A hardworking, serious black physician who falls in love with Melanctha but ultimately cannot reconcile her fluid nature with his desire for traditional values.",Good,Dr. Jeff Campbell
"Anna's friend; an easygoing widow and midwife who is morally questionable but whose casual, carefree attitude is the opposite of Anna's rigidity.",Bad,Mrs. Lehntman
"A careless, sullen, and selfish black woman who is Melanctha's friend and allows her child to die due to indifference.",Bad,Rose Johnson
"Melanctha's last lover, a powerful gambler whose great desire for personal freedom ultimately leads him to abandon the emotionally intense Melanctha.",Neutral,Jem Richards
"The handsome, charming, and initially egocentric protagonist; a wealthy Princetonian and aspiring writer whose journey chronicles his disillusionment and search for self-knowledge.",Ambiguous,Amory Blaine
"Amory's great love; a stunning, self-possessed debutante who breaks his heart by choosing to marry a wealthier man for social security.",Bad,Rosalind Connage
"A wise, warm, Catholic monsignor who acts as Amory's mentor and foster father, representing a model of wisdom and tested faith.",Good,Monsignor Thayer Darcy
"Amory's theatrical, sophisticated, and detached mother, whose influence shapes his early arrogance and whose death leaves him emotionally alone.",Neutral,Beatrice Blaine
Amory's intellectual and literary friend at Princeton who aids his artistic ambitions and supports him later in New York.,Good,Thomas Parke D'Invilliers
"Amory's socially conscious friend at Princeton who embraces socialism and pacifism, inspiring Amory to question his own elite values.",Good,Burne Holiday
"An impulsive, reckless, and highly romantic young woman with whom Amory has an intense summer affair before she attempts a dramatic, self-destructive stunt.",Neutral,Eleanor Savage
"An imaginative, creative woman who is suffering from postpartum depression. Her forced 'rest cure' and creative repression drive her descent into mental breakdown.",Good,The Narrator (Unnamed)
"The narrator's husband; a rational physician who is controlling and condescending, misdiagnosing his wife's condition and imposing the disastrous 'rest cure'.",Bad,John
"John's sister and the housekeeper. She aids John in enforcing the 'rest cure' but shows a brief, slight curiosity about the yellow wallpaper's pattern.",Neutral,Jennie
"The narrator's hallucination; a creeping, trapped figure behind the pattern who represents the narrator's suppressed identity and all confined women.",Good,The Woman in the Wallpaper
The nursemaid to the narrator's newborn child. She is only mentioned briefly and is praised for her care of the baby.,Neutral,Mary
A real-life physician (referred to) who popularized the harmful 'rest cure' that John enforces on the narrator.,Bad,Weir Mitchell
"The narrator's newborn child, from whom she is separated as part of the 'rest cure,' symbolizing the broken bond of motherhood.",Neutral,The Baby (Unnamed)
"A kind, innocent, and determined young girl from Kansas who is swept to the Land of Oz and embarks on a quest to return home.",Good,Dorothy Gale
"A straw-stuffed companion who wishes for brains, but proves to be wise and clever throughout the journey.",Good,The Scarecrow
"A man made of tin who desperately wishes for a heart, but proves to be the most compassionate and tender of the group.",Good,The Tin Woodman
"A grand, brave-hearted beast who believes he lacks courage, but demonstrates immense bravery when his friends are in peril.",Good,The Cowardly Lion
"The seemingly great and powerful ruler of the Emerald City, who is ultimately revealed to be a humbug, an ordinary man from Omaha.",Ambiguous,The Wizard of Oz
"The malevolent one-eyed ruler of the Winkies, who tries to enslave Dorothy and is melted by a bucket of water.",Bad,The Wicked Witch of the West
"The Good Witch of the South, The beautiful, powerful, and wise witch who finally reveals the secret of the silver shoes, enabling Dorothy to return to Kansas.",Good,Glinda
"A disagreeable, lazy, and mean young boy who is magically shrunk by an elf. His journey with the wild geese reforms his character.",Good,Nils Holgersson
"The stern, wise, and ancient leader of the flock of wild geese who guides Nils on his journey across Sweden.",Good,Akka of Kebnekaise
Nils's father's white domestic gander who is accidentally swept up with the wild geese and carries Nils throughout their migration.,Good,Morten
"A small, mysterious farm elf who shrinks Nils as punishment for his cruelty and meanness towards the farm animals.",Neutral,The Elf (Tomte)
A persistent and cunning fox who is the relentless foe and predator of Akka's flock of wild geese.,Bad,Smirre Fox
"Poor, hardworking Swedish farmers who despair over their son's bad behaviour and are deeply worried by his disappearance.",Good,Nils' Parents (Holger and Unnamed Mother)
"A stork at Glimminge Castle whom Nils helps to save from an attack by gray rats, furthering his path of redemption.",Good,Herr Ermenrich
"The protagonist; a humble drawing master who, after meeting the woman in white, dedicates himself to uncovering the conspiracy and restoring Laura's identity.",Good,Walter Hartright
"Laura's physically robust, sharp-witted, and devoted half-sister who is secretly in love with Walter but is the primary defender of Laura.",Good,Marian Halcombe
"A beautiful, passive, and wealthy young orphan who resembles the woman in white and is forced into a disastrous marriage with Sir Percival Glyde.",Good,Laura Fairlie
"The villain; a baronet who marries Laura for her money. He is secretive, ill-tempered, and commits identity fraud to secure his wealth.",Bad,Sir Percival Glyde
"Sir Percival's obese, flamboyant, and diabolical friend and co-conspirator; a master manipulator and traitor to an Italian secret society.",Bad,Count Fosco
A mysterious woman with a white complexion who is mentally unwell and strongly resembles Laura. She holds the secret of Sir Percival's bigamy.,Good,Anne Catherick (The Woman in White)
"A cheerful, eccentric Italian friend of Walter who is revealed to be a member of a secret revolutionary society, ultimately leading to Count Fosco's demise.",Good,Professor Pesca
"A brilliant barrister who, out of love and desperation, commits perjury to save Stella from a murder conviction; later seeks to make amends.",Ambiguous,Henry Thresk
"A beautiful woman married to an abusive husband whom she admits she killed. She is self-preserving, eventually finding love and revealing the truth to her second husband.",Ambiguous,Stella Derrick (Ballantyne/Hazlewood)
"Stella's violently abusive, heavy-drinking first husband in India, who is found dead, shot with his own rifle.",Bad,Captain Ballantyne
"A local army captain who falls in love with Stella and marries her, proving his devotion by accepting her confession of murder.",Good,Captain Dick Hazlewood
"A suspicious old man who attempts a ruse to prove Stella's guilt, representing the local society's moral judgment.",Bad,Dick Hazlewood's Father
"A friend of Hazlewood's father, enlisted to test Thresk's testimony, who is convinced of Thresk's veracity despite the perjury.",Neutral,Solicitor (Unnamed)
"Stella's parents who live in Sussex, where Thresk first meets Stella on holiday.",Neutral,Mr. and Mrs. Derrick
"The King of Sicilia, whose crippling, irrational jealousy leads him to wrongfully accuse his noble wife, Hermione, causing their family's ruin and a sixteen-year separation.",Bad,Leontes
